epoch,fp32_train_loss,fp32_val_loss,fp32_grad_norm,fp32_epoch_time_s,tern_train_loss,tern_val_loss,tern_grad_norm,tern_epoch_time_s
1,1.9542327901007424,1.608886942267418,0.9264372665526198,9.045386332999897,1.8125597523971342,1.3836493343114853,0.9720161985207438,7.9885382920001575
2,1.4247959768268423,1.1861291378736496,1.309332855435847,7.684478042000137,1.251828351490934,1.0637440383434296,1.0262161704334016,7.660139791999882
3,1.152677684602603,0.9846684634685516,1.4191417378163758,7.563999959000284,1.0566358860109892,0.8554262146353722,1.24865045658082,7.636008707999736
4,1.0098932309889457,0.8343661949038506,1.6501858540396248,7.855467208999926,0.909078770120379,0.7033648639917374,1.5369688014725584,7.635843957999896
5,0.8919950774018194,0.6962586939334869,1.8012474474399283,7.644420291000188,0.7729933706807418,0.5165407806634903,1.575502125412374,7.5991078329998345
6,0.7873797131256318,0.6020530462265015,1.8660300949382491,7.5886677919997965,0.660771305292425,0.4192632921040058,1.4971480635496572,7.5985144170008425
7,0.7002736649043123,0.5003345012664795,1.8414775409548942,7.577485999999226,0.5858990911027075,0.3575664572417736,1.4767722727021984,7.608978874999593
8,0.6098203659057617,0.39590218663215637,1.790730026220451,7.56736166599967,0.528482434615283,0.31131917238235474,1.365185728252438,7.601141000000098
9,0.5213955951408601,0.2845921516418457,1.9299552884031088,7.60275641699991,0.4861982217137243,0.2767713498324156,1.3780678188372915,7.603535459000341
10,0.43723983034281666,0.20952094160020351,1.867376353050998,7.5829399589993045,0.4481307415055557,0.24497097544372082,1.3533433284193626,7.612449292000747
11,0.37397373855953486,0.16412277333438396,1.7432997637235499,7.687589874999503,0.41795842244591513,0.21977509930729866,1.2747143640128442,7.735807750000276
12,0.3242099163397937,0.12928910925984383,1.691391163832382,7.6221340410002085,0.39049903523754065,0.19780108332633972,1.2815962749051921,7.575983707999512
13,0.2866887760833955,0.10805187188088894,1.596261063452003,7.563899916000082,0.3691014416620765,0.17015148513019085,1.201105773684078,7.671638290999908
14,0.25568196135507504,0.09605675470083952,1.5291857232899215,7.593279291999352,0.34704444316071525,0.1586587242782116,1.1677887760309227,7.633897040999727
15,0.23084889331334074,0.08558232337236404,1.4754532688852313,7.5732545829996525,0.33124976510732945,0.15387404710054398,1.1323773754719624,7.573653000000377
16,0.2087553017575976,0.0778192225843668,1.4279870590440247,7.529001958999288,0.3157220121840356,0.1433105729520321,1.1183145274064896,7.567524541999774
17,0.19236194898544903,0.07227222062647343,1.4023288821054205,7.551636458999383,0.2987230512457834,0.12944580614566803,1.0607715537319313,7.558693582999695
18,0.176866707457623,0.069757629185915,1.247905353758944,7.53310941700056,0.28552958537155476,0.12342399079352617,1.0549741036561977,7.5557044580000365
19,0.16627923409703751,0.06617781519889832,1.2144672817432784,7.546465624999655,0.27578495065091363,0.11571086384356022,1.0026269369861958,7.566376042000229
20,0.1547711044549942,0.06334304995834827,1.176821427867521,7.540209290999883,0.26460340262298854,0.10938745830208063,0.9878127673662951,8.143720666999798
21,0.14597922920341222,0.0621849806047976,1.098791295031063,8.044941832999939,0.2549858355606106,0.09996877890080214,0.9335905657592645,7.60114216599959
22,0.1389808722994697,0.06072837393730879,1.0570344703411578,7.559766499999569,0.24532136677856176,0.0965917557477951,0.9306057184440372,7.595042375000048
23,0.13288656317851913,0.05939944414421916,1.0283567493623098,7.950167082999542,0.23792906126505892,0.08961374685168266,0.9002886583922195,7.927704041000652
24,0.12634451330547602,0.05862271785736084,0.9584156867929552,7.687664957999914,0.23271356502049406,0.08980584237724543,0.9146939536095641,7.764797584000007
25,0.12245982287215515,0.05748450895771384,0.9430270391164558,7.990815250000196,0.22522143977628628,0.08356530405580997,0.8666677065172335,7.860543791999589
26,0.1162077182195556,0.056880312506109476,0.8822349614072102,7.6572989590004,0.22002592997651704,0.08443422522395849,0.8634105371227384,7.632055459000185
27,0.11438491048527435,0.056864448357373476,0.8822930686044159,7.618002958000034,0.21396394535689287,0.08108589146286249,0.8565160461186617,7.625965582999925
28,0.11096658022470877,0.056004976853728294,0.86297010783083,7.504783624999618,0.20930368925484133,0.08164966572076082,0.841803383333884,7.5437918329998865
29,0.10834666656356462,0.055884215515106916,0.8347783392837821,7.65046566700039,0.2039341966451054,0.07508496567606926,0.8109816919824873,7.615019541000038
30,0.10514342732412714,0.055489597376435995,0.8151204594539031,7.505260666999675,0.1993499003665548,0.07355508487671614,0.816515348673739,7.619356958000026
